Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1,Tipo de cliente,Semana
2021-06-24,2764.6116124295722,9406.591541344267,5948.143088288023,1010048,,Centro Norte,Tradicional,25
2021-06-25,4132.180846158301,10734.706660978976,7393.8461158310265,1010048,,Centro Norte,Tradicional,25
2021-06-26,-289.4167705584163,6547.727759438263,3251.504778167945,1010048,,Centro Norte,Tradicional,25
2021-06-22,2024.0562565517118,5852.768953786737,3886.6362981586362,1010002,,Centro Norte,Tradicional,25
2021-06-23,2772.720570072579,6479.749010101941,4626.578679444824,1010002,,Centro Norte,Tradicional,25
2021-06-24,4062.9084241655396,7907.815524834355,5954.5906933433225,1010002,,Centro Norte,Tradicional,25
2021-06-25,4703.568228396396,8541.149627901264,6670.550456143976,1010002,,Centro Norte,Tradicional,25
2021-06-26,2587.6114411239514,6176.076478663311,4313.7642444142775,1010002,,Centro Norte,Tradicional,25
2021-06-22,-186.82712405982141,396.7657717231146,104.870809472188,1020253,,Centro Norte,Grandes Clientes,25
2021-06-23,-198.06483806504605,395.76493192111207,99.1459711963514,1020253,,Centro Norte,Grandes Clientes,25
2021-06-24,-85.49994972503366,489.54507626998077,200.2325766046361,1020253,,Centro Norte,Grandes Clientes,25
2021-06-25,-57.93528742754293,501.4528842695467,215.49607855692358,1020253,,Centro Norte,Grandes Clientes,25
2021-06-26,-50.54794506731778,515.112200501407,222.45099547441083,1020253,,Centro Norte,Grandes Clientes,25
2021-06-22,-282.287725839538,367.170100674312,49.772083208622504,1020042,,Centro Norte,Grandes Clientes,25
2021-06-23,-131.37096043324743,488.9057886142823,175.50021540963394,1020042,,Centro Norte,Grandes Clientes,25
2021-06-24,-249.02638246922828,355.9110301365623,50.844629884235914,1020042,,Centro Norte,Grandes Clientes,25
2021-06-25,-149.15639345057855,461.1798223245039,146.60664595915358,1020042,,Centro Norte,Grandes Clientes,25
2021-06-26,-229.84041860731784,394.70358507548303,72.06922284347776,1020042,,Centro Norte,Grandes Clientes,25
2021-06-22,-265.89055559576184,708.9704725610098,234.08508676179412,1020027,,Centro Norte,Grandes Clientes,25
2021-06-23,-181.27855767514865,734.598625123072,270.8170741800219,1020027,,Centro Norte,Grandes Clientes,25
2021-06-24,-297.6008102666805,606.9797999924162,166.2325123300057,1020027,,Centro Norte,Grandes Clientes,25
2021-06-25,-190.28842353404326,693.8741990209568,237.75257534180963,1020027,,Centro Norte,Grandes Clientes,25
2021-06-26,-226.65047682327054,665.1770561811271,236.7184970289632,1020027,,Centro Norte,Grandes Clientes,25
2021-06-22,-519.6000248605832,2264.9212370254095,828.0712670923674,1020013,,Centro Norte,Grandes Clientes,25
2021-06-23,-484.77308901072524,2325.3149515279615,870.4461935735751,1020013,,Centro Norte,Grandes Clientes,25
